Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.0,1.0,0.0,0.0,63,Fri Jun 01 19:45:17 +0000 2018,Trump: ‘It’s a get-to-know-you situation’ https://t.co/hBGPgbYuwg
BBC,0.344,0.656,0.0,-0.4939,64,Fri Jun 01 19:43:02 +0000 2018,Brazil Petrobras oil boss Pedro Parente resigns amid protests https://t.co/HikgL2CyG9
BBC,0.056,0.882,0.062,0.0387,65,Fri Jun 01 18:58:19 +0000 2018,"RT @awzurcher: Trump says the US had ""hundreds"" of new sanctions it was ready to impose on North Korea, but has decided for now not to impl…"
BBC,0.0,1.0,0.0,0.0,66,Fri Jun 01 18:58:16 +0000 2018,"RT @awzurcher: After saying that the letter to him from Kim Jong-un was ""very nice"", Trump now says that he hasn't read or even opened the…"
BBC,0.167,0.833,0.0,-0.5267,67,Fri Jun 01 18:58:13 +0000 2018,RT @awzurcher: One thing Trump says he *didn't* talk about with Kim Yong-Chol: North Korean human rights violations.
BBC,0.0,1.0,0.0,0.0,68,Fri Jun 01 18:58:09 +0000 2018,"RT @awzurcher: Trump downplays objectives for Singapore summit: ""We’re not going to go in and sign something on June 12."""
BBC,0.0,1.0,0.0,0.0,69,Fri Jun 01 18:47:06 +0000 2018,"RT @BBCBreaking: Donald Trump's summit with Kim Jong-un on 12 June is back on, the US president says, a week after it was scrapped https://…"
BBC,0.0,0.816,0.184,0.2023,70,Fri Jun 01 17:38:28 +0000 2018,Top North Korean official arrives at White House https://t.co/66DjTm20Hf
BBC,0.0,1.0,0.0,0.0,71,Fri Jun 01 17:15:11 +0000 2018,World Cup 2018: Nigeria kit sells out after three million pre-orders https://t.co/m1U4Q275NT
BBC,0.132,0.743,0.125,-0.0516,72,Fri Jun 01 17:04:15 +0000 2018,"RT @BBCNews: ""Nobody wins in a trade war, there are only casualties""

Trade Sec Liam Fox reacts to US steel tariffs, saying it's ""very, ver…"
BBC,0.0,1.0,0.0,0.0,73,Fri Jun 01 17:03:58 +0000 2018,RT @BBCSteveR: The USSR still exists (as an ice cream) https://t.co/DaUeeIExh4
BBC,0.0,1.0,0.0,0.0,74,Fri Jun 01 17:02:30 +0000 2018,"Michael Rotondo, evicted New York son, moves out after Lego row https://t.co/DIjiyz5wXI"
BBC,0.139,0.861,0.0,-0.5256,75,Fri Jun 01 17:02:28 +0000 2018,"RT @BBCNews: Prime Minister Theresa May says she's ""deeply disappointed"" by US tariffs, calling for UK and EU to be ""permanently exempted""…"
BBC,0.0,1.0,0.0,0.0,76,Fri Jun 01 16:04:55 +0000 2018,US school official convicted for shooting teen over drugs https://t.co/yKc0dQBEQb
BBC,0.163,0.837,0.0,-0.5106,77,Fri Jun 01 15:51:08 +0000 2018,RT @BBCBreaking: Visa says some card payments are currently failing across the UK and elsewhere in Europe https://t.co/3IJ9nksdEc
BBC,0.231,0.769,0.0,-0.2732,78,Fri Jun 01 15:29:17 +0000 2018,US jobless rate falls to 18-year low https://t.co/gzuLatm6dP
BBC,0.0,1.0,0.0,0.0,79,Fri Jun 01 15:24:11 +0000 2018,Vogue Arabia defends Saudi princess cover https://t.co/cYCDe6Ypbt
BBC,0.16,0.84,0.0,-0.6369,80,Fri Jun 01 15:21:21 +0000 2018,"""Sometimes I even cook with it. Put it in food and eat it"" 💊💊
How the abuse of painkiller Tramadol is sweeping thro… https://t.co/Hh7ANZkmr9"
BBC,0.0,1.0,0.0,0.0,81,Fri Jun 01 14:54:48 +0000 2018,Kenyan officials to take polygraph tests to tackle corruption https://t.co/N1wtJx6Wy4
BBC,0.0,0.941,0.059,0.128,82,Fri Jun 01 14:53:27 +0000 2018,"RT @BBCNewsbeat: Kanye West has just dropped his seven track album, #Ye and he launched it last night in the most Kanye West way imaginable…"
BBC,0.0,1.0,0.0,0.0,83,Fri Jun 01 14:52:29 +0000 2018,Italy populists in power: What now? https://t.co/hqMo2BHSER
BBC,0.0,1.0,0.0,0.0,84,Fri Jun 01 14:28:59 +0000 2018,Giuseppe Conte sworn in as Italian PM as coalition government formed of Italy's two main populist parties… https://t.co/74spmNB0eY
BBC,0.0,0.753,0.247,0.3182,85,Fri Jun 01 14:14:20 +0000 2018,"Trump tariffs: US wants 'free, fair trade' https://t.co/IuVXDD3Nm7"
BBC,0.0,0.783,0.217,0.3612,86,Fri Jun 01 14:14:18 +0000 2018,Uganda to build 'Idi Amin museum' to attract tourists https://t.co/Pk4pXFm99d
